Identifiant;Marque;Nom;Latitude;Longitude
67270002;Leclerc;E.LECLERC EXPRESS;48.75758;7.57295
67460003;Leader Price;LEADER PRICE SOUFFELWEYERSHEIM;;
68290002;Leclerc;E. Leclerc Express;47.7743069347;6.9986671352
68350001;Système U;68350001;47.7235353202;7.31967524915
65230002;Intermarché Contact;INTERMARCHE CONTACT;43.2934968442;0.515014625794
65300003;Elan;RELAIS DE LA DEMI LUNE;43.11945;0.41081
66000012;Indépendant sans enseigne;PETROR;42.6892652597;2.87834157436
66820001;Intermarché Contact;INTERMARCHE VERNET LES BAINS;42.55668;2.38437
67270001;Supermarché Match;SUPERMARCHES MATCH  HOCHFELDEN;48.75507;7.57831
68160003;Total Access;RELAIS DE SAINTE MARIE AUX MINES;48.25399;7.20421
66420001;Système U;STATION U;42.78737;3.0349
67120005;Leclerc;E. Leclerc Express;48.5274071818;7.56838236649
68100008;Oil France;I.S. INDUSTRIES SERVICES;47.74935;7.35047
69120006;Indépendant sans enseigne;GARIBALDI AUTOMOBILES;45.76772;4.9354
69290002;Leclerc;GREZDIS;45.74114;4.692
69320003;Total;GARAGE VICOLETTO;45.66935;4.85051
69380006;Avia;BIGILLON GILLES;45.87284;4.74852
70700003;Carrefour Contact;CARREFOUR CONTACT BUCEY LES GY;47.42536;5.84325
69220001;Carrefour Market;Carrefour Market;46.10463;4.74306
69300003;Total;ETS DI LORENZO;45.7881414242;4.8394864324
69800009;Indépendant sans enseigne;Clinic'auto;45.6955563535;4.94585927934
71600001;Total;Relais Lagarde Paray Le Monial;46.44572;4.11965
69110004;BP;BP STE FOY LES LYON;45.7489;4.79384
69340003;Shell;SHELL ROUSSILLON;45.37326;4.81222
69590002;Avia;ETS GRANJON;45.63046;4.45638
70200005;Intermarché;INTERMARCHE LURE;47.67185;6.51182
71140002;Agip;AGIP BOURBON LANCY;46.62425;3.75736
73190002;BP;BP A43 AIRE DE L'ABIS;45.525;5.97704
74100008;Intermarché;INTERMARCHE VETRAZ MONTHOUX;46.1843820024;6.27550188605
71140001;Atac;ATAC BOURBON LANCY;46.62338;3.76072
71600007;Intermarché;INTERMARCHE PARAY LE MONIAL;46.44042;4.11364
73410001;Intermarché;INTERMARCHE LA BIOLLE;45.7611346227;5.93298562241
73420004;Leclerc;Leclerc Drive;45.63796;5.88988
